,Name,X_center,Y_center,Radius
0,0449-6920,12907.335,6590.9127,33.020486
1,0449-6903,12932.577,7102.7171,48.292779
2,0450-7050,12439.743,3930.4219,99.09995
3,0453-6655,12732.096,11001.409,62.716206
4,0453-6829,12387.938,8186.9851,30.322022
5,0454-6712,12462.613,10480.452,48.040608
6,0454-6625,12538.242,11910.235,20.029978
7,0455-6839,12037.388,7945.2007,86.533231
8,0456-6950,11677.895,5804.9929,70.473044
9,0459-7008,11134.753,5327.0762,35.368559
10,0504-6723,10649.248,10294.211,68.324959
11,0505-6752,10455.066,9438.3679,18.822194
12,0505-6801,10411.399,9172.2715,26.828809
13,0506-6542,10575.768,13349.303,109.84631
14,0506-7025,10049.925,4850.4673,65.05344
15,0507-6847,10073.057,7803.3886,152.22983
16,0508-6902,9888.157,7364.7382,66.852057
17,0508-6830,9882.1871,8321.3312,30.520485
18,0508-6843,9840.8458,7935.5522,7.0228199
19,0509-6731,9829.3103,10106.713,7.5894664
20,0510-6708,9714.3824,10790.664,38.314945
21,0511-6759,9520.6264,9280.6474,55.479726
22,0512-6717,9342.0288,10537.027,69.635874
23,0512-6707,9335.9726,10842.008,12.437343
24,0513-6912,9131.0936,7097.2918,56.570399
25,0513-6731,9150.7355,10114.774,31.374751
26,0514-6840,8982.4167,8058.3422,54.9
27,0517-6759,8507.1812,9291.0488,58.722398
28,0518-6939,8264.3598,6295.4744,31.96936
29,0519-6902,8115.596,7406.1531,8.5688389
30,0519-6926,8090.6914,6687.743,49.835981
31,0521-6542,7694.3437,13380.041,34.491847
32,0522-6740,7594.1351,9834.9899,77.942286
33,0523-6753,7504.6233,9466.4566,57.5
34,0524-6623,7231.7269,12145.027,42.155605
35,0525-6938,7267.0318,6297.3294,25.266579
36,0525-6559,7011.0231,12873.896,38.75
37,0526-6605,6909.1003,12699.045,18.75
38,0527-6912,6827.4512,7076.0051,34.851471
39,0527-7134,6969.2449,2810.9525,41.818537
40,0527-6549,6541.5093,13142.751,75.880251
41,0528-7104,6899.074,3696.3571,69.239259
42,0528-6726,6612.1836,10229.629,54.083269
43,0528-6713,6574.5832,10618.528,54
44,0538-7004,5183.1566,5405.3785,20
45,0529-6653,6276.7846,11217.408,33.105891
46,0530-7007,6426.5047,5396.5873,57.749091
47,0531-7100,6323.3583,3800.2432,44.930502
48,0532-6731,5909.0294,10046.579,65.527876
49,0533-7202,6168.4676,1904.2408,44.821981
50,0534-6955,5896.3172,5734.2037,28.722813
51,0534-7033,5927.1086,4576.6915,56.716356
52,0535-6602,5128.3454,12691.488,18.38464
53,0535-6918,5547.0392,6823.4842,18.195879
54,0536-6735,5286.7047,9946.1128,61.496504
55,0536-7038,5668.8409,4408.3347,38.526776
56,0536-6913,5453.2946,6957.0873,16.5
57,0537-6627,4867.2314,11903.971,51.474848
58,0537-6910,5210.5201,7032.6533,31.400637
59,0540-6944,4943.2605,5991.6979,25.980762
60,0540-6919,4848.7992,6713.3215,15.603926
61,0541-6659,4175.1279,10898.019,71.414284
62,0542-7104,4775.0446,3556.9954,62.749502
63,0543-6900,4337.1624,7264.1157,56.6
64,0547-6942,3851.8937,5916.3329,44.72136
65,0547-6941,3792.8878,5950.9105,29.995833
66,0547-7024,3878.2957,4646.725,28.06243
67,0550-6823,2993.4817,8206.346,63.168821
68,0506-6815,10351.641,8749.9796,57.852182
69,0513-6724,9108.857,10345.836,37.5
70,0538-6921,5159.4106,6684.3999,42.25
71,0539-7001,5051.5471,5470.188,39.68627
72,0451-6906,12593.457,7049.8025,60.180042
73,0451-6951,12418.233,5707.3381,41.997589
74,0452-6638,12879.676,11484.76,58.179829
75,0457-6823,11761.839,8421.722,37.546771
76,0459-7008b,11174.798,5304.7491,47.502184
77,0459-6757,11423.368,9246.4563,30.570942
78,0504-6901,10612.029,7370.3284,63.054064
79,0522-6543,7463.7987,13370.458,41.194903
80,0534-6720,5581.7399,10356.141,72.697524
81,0534-6700,5414.5411,10970.456,45.834294
82,0542-6852,4465.1792,7511.2686,58.499423
83,0543-6928,4413.9158,6405.6193,31.924912
84,0543-6923,4371.0102,6559.9382,55.16899
85,0543-6906,4298.1891,7039.4701,99.0075
86,0624-6948,-1839.5992,4614.6276,49